Kingdom	Phylum	Class	Order	Family	Genus	Species	Taxon
Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	Veillonella_magna	SGB6926
Bacteria	Firmicutes	CFGB10719	OFGB10719	FGB10719	GGB32463	GGB32463_SGB47515	SGB47515
Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Melghirimyces	Melghirimyces_thermohalophilus	SGB8269
Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Gracilibacillus	Gracilibacillus_dipsosauri	SGB25191
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Mailhella	Mailhella_massiliensis	SGB35190
Bacteria	Verrucomicrobia	CFGB2164	OFGB2164	FGB2164	GGB6132	GGB6132_SGB8779	SGB8779
Bacteria	Firmicutes	Clostridia	Clostridia_unclassified	Clostridia_unclassified	Clostridia_unclassified	Clostridia_bacterium	SGB15390
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriales_unclassified	GGB1662	GGB1662_SGB2276	SGB2276
Bacteria	Firmicutes	Clostridia	Clostridia_unclassified	Clostridia_unclassified	Candidatus_Heteroclostridium	Candidatus_Heteroclostridium_caecigallinarum	SGB61601
Bacteria	Firmicutes	Clostridia	Clostridia_unclassified	Clostridia_unclassified	Clostridia_unclassified	Clostridia_bacterium	SGB53496
Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_pseudolongum	SGB17279
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter_trogontum	SGB19389
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	GGB1671	GGB1671_SGB2287	SGB2287
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Morganellaceae	Providencia	Providencia_stuartii	SGB10011
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	GGB1691	GGB1691_SGB2323	SGB2323
Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae	Slackia	Slackia_equolifaciens	SGB33546
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	Spirosoma	Spirosoma_montaniterrae	SGB3418
Bacteria	Cyanobacteria	Cyanobacteria_unclassified	Oscillatoriales	Microcoleaceae	Microcoleus	Microcoleus_sp_FACHB_SPT15	SGB80661
Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	Sphingomonas_mesophila	SGB31617
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Acetobacteraceae	Belnapia	Belnapia_rosea	SGB11243
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Erwiniaceae	Pantoea	Pantoea_ananatis	SGB10194
Bacteria	Cyanobacteria	Cyanobacteria_unclassified	Nostocales	Calotrichaceae	Calothrix	Calothrix_desertica	SGB28875
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas_fulva	SGB12272_group
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_thalassium	SGB87912
Bacteria	Cyanobacteria	Cyanobacteria_unclassified	Nostocales	Scytonemataceae	Scytonema	Scytonema_millei	SGB28870
Bacteria	Cyanobacteria	Cyanobacteria_unclassified	Nostocales	Calotrichaceae	Calothrix	Calothrix_sp_PCC_7103	SGB28874
Bacteria	Cyanobacteria	Cyanobacteria_unclassified	Oscillatoriales	Oscillatoriaceae	Phormidium	Phormidium_tenue	SGB80553
Bacteria	Actinobacteria	Actinobacteria	Kineosporiales	Kineosporiaceae	Quadrisphaera	Quadrisphaera_sp_DD2A	SGB87492
Bacteria	Deinococcus_Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_sp_OD32	SGB24016
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Rubellimicrobium	Rubellimicrobium_roseum	SGB56737
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Arthrobacter	Arthrobacter_sp_Soil782	SGB23786
Bacteria	Cyanobacteria	Cyanobacteria_unclassified	Nostocales	Calotrichaceae	Calothrix	Calothrix_sp_NIES_4071	SGB28873
Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Blastococcus	Blastococcus_sp_DSM_44268	SGB16522
Bacteria	Actinobacteria	Actinobacteria	Geodermatophilales	Geodermatophilaceae	Modestobacter	Modestobacter_sp_DSM_46791	SGB87458
Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Microbacterium_sp_ABRD_28	SGB34930
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_unclassified	Rhizobiales_unclassified	Rhizobiales_bacterium_RZME27	SGB89581
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Yersiniaceae	Rouxiella	Rouxiella_chamberiensis	SGB31288
Bacteria	Deinococcus_Thermus	Deinococci	Deinococcales	Deinococcaceae	Deinococcus	Deinococcus_budaensis	SGB86251
